,superkingdom,phylum,class,order,family,genus,species,tax_id,barcode01,barcode02,barcode03,barcode04,barcode05,barcode06,barcode07,barcode08,barcode09,barcode10,barcode11,barcode12,barcode13,barcode14,barcode15,barcode16,barcode17,barcode18,barcode19,barcode20,barcode21,barcode22,barcode23,barcode24,barcode25,barcode26,barcode27,barcode28,barcode29,barcode30,barcode31,barcode32,barcode33,barcode34,barcode35,barcode36,barcode37,barcode38,barcode39,barcode40,barcode41,barcode42,barcode43,barcode44,barcode45,barcode46,barcode47,barcode48,barcode49,barcode50,barcode51,barcode52,barcode53,barcode54,barcode55,barcode56,barcode57,barcode58,barcode59,barcode60,barcode61,barcode62,barcode63,barcode64,barcode65,barcode66,barcode67,barcode68,barcode69,barcode70,barcode71,barcode72,barcode73,barcode74,barcode75,barcode76,barcode77,barcode78,barcode79,barcode80,barcode81,barcode82,barcode83,barcode84,barcode85,barcode86,barcode88,barcode89,barcode90,barcode91,barcode93,barcode95,barcode96
0,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Hymenobacteraceae,Adhaeribacter,Adhaeribacter swui,2086471,0.0102761047232259,0.005620939501945,0.006235462657548,,0.0064803321359762,0.0083933586553325,0.0004068652452565,0.0008279461691476,0.0002431088098544,0.0003632357823538,0.0002609165409299,,0.0016707479815911,0.0003767892394163,,0.0011520266429604,0.0013532591785336,0.0002375251848039,0.0076421416200713,0.0016887165324304,0.0182231275353021,0.0007953534621344,0.0012486356594138,0.000965457173053,0.0173571106534792,0.0091833168043464,0.0003082966242447,0.000450767966794,0.0010948452916457,0.000927384314744,0.0020902596414315,0.0006985291391443,,0.0012285045509615,0.0013601114933565,0.0010232810129829,0.0014096497116329,,0.0011156029709506,0.0003560233744516,0.0015560994996809,0.0010774077913034,0.0003449088714682,0.0005857077295105,0.0004263219018995,0.0003615610209095,0.0008423442403586,0.00058550325554,0.000430350748986,,0.0005579201824641,,0.0010444793147948,0.0002024733943207,0.0013418584673531,0.0002029084457221,0.0061658334651512,0.0005943252783514,0.0005421033584621,0.0007299963536817,0.0005191469090534,0.0025967777904299,0.0004246871815515,0.000693653151468,0.0010751737730727,0.0003611765915384,0.0011939779712426,0.002102626361103,0.0003895460911854,0.0003731932484724,0.0005105075105798,0.0005486438879358,0.0003395776924334,0.0005559142925141,0.0007984045881901,0.0004927483712777,0.0007285710378276,0.0002176175418522,0.001793540595523,0.004175084954295,0.001380512254732,0.0028406104343959,,0.0006609837329384,0.0004871293577695,0.0005832342586232,,,0.0004701359519767,0.0003303477325892,,,
1,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Hymenobacteraceae,Adhaeribacter,Adhaeribacter aerophilus,670288,0.0008028313999377,0.0004422799801947,0.0003667413714354,,0.0001352003100106,0.0161884690509341,0.0006461309023023,0.000636280154603,0.000208657639753,,0.0007948402255185,,0.0002405695482347,,,0.0011053782665422,0.0002165877580579,0.0008233009163462,0.0003551263426464,,0.0013322511548069,,0.0001735461074967,0.0004030384316004,0.0063989189959708,0.0010141625644664,0.0003098032183591,,,0.0003269642872739,0.0001644400771374,,,,0.0009276126685796,0.0003842961197494,,,0.0006730393202641,,,0.0002422269685895,0.0005348854289079,,0.0005623781834045,,0.0010546480545741,0.0003813125875815,,,0.0002149088701658,,0.000517465455789,,0.0012642971598487,0.0010383439817875,0.0014366768608044,,,,,0.0010707283408328,,0.0002882770456015,0.0007440543215475,0.0001830531479747,0.0002785300200775,0.0026935297583928,0.0003949510771381,,0.0001820389084594,0.0003645708057787,,0.0010770399915642,,0.0003676830381364,0.0002409994671263,0.0007627720021176,0.0011823177531292,0.0011955306723189,,,,0.0003757188164552,,,,,,,,,
2,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Hymenobacteraceae,Adhaeribacter,Adhaeribacter aerolatus,670289,0.0060364170174649,0.0042008245464061,0.0056474264035419,0.0003641270717196,0.0060376424912977,0.008123591707224,0.0040575754564919,0.0042922390827537,0.0032659200032322,0.0015771933766905,0.0056288926511864,0.0018532029367049,0.0031036383008265,0.0007331781762669,,0.0061405263905443,0.0017253578308349,0.0016479077010503,0.0087130934190546,0.000137605839506,0.0124545277364918,0.0011224191709943,0.0013301201705972,0.0019298642299967,0.0131831316742441,0.0073320026502212,0.0020375923187102,0.0025476416808509,0.0002117067151707,0.0012235545833657,0.001550853800008,0.0006500754848304,0.0011536720297323,0.0006221565570743,0.0114846297727681,0.0023003125111317,0.0016617169292258,0.0007880166415804,0.0032741231411349,0.0037027552087083,0.0029204827327044,0.001535443679681,0.0030480276001366,0.0006743206528247,0.0043525889381264,0.0024071453129412,0.0045160449078568,0.0049455730583383,0.0008777697591756,0.0004900942479982,0.0012257545639723,0.000850055367391,0.0037821097853733,0.002122894133033,0.0050007250448521,0.0066151059132455,0.010718198865859,0.0014892063368035,0.0033673091654376,0.003479037366079,0.000809023804817,0.0040986894680551,0.0003360347510039,0.0032400232078274,0.0042956737199913,0.0015646665509021,0.0010816025755036,0.014509417280571,0.0014709163747808,0.0004186152331457,0.0005368552252069,0.0056811608664171,0.0021563942636913,0.0067183120602145,0.0005994073997894,0.0032075082292897,0.0035676328762071,0.0039071519648935,0.0059452227051906,0.005748765824471,0.0015145418267902,0.0025701736785529,0.0003651134153961,0.0018635510765865,0.0027182720163358,0.0014746119962859,0.0006459860107316,0.0010188874967907,0.0025029045446976,0.0007952472306423,,,
3,Bacteria,Firmicutes,Bacilli,Bacillales,,Exiguobacterium,Exiguobacterium undae,169177,0.0271975735416365,0.0238576448191821,0.0013041542989283,,0.0005673257020961,0.0014500588470379,0.0155434736382459,0.0275908779374202,0.0037891637703023,0.0002603404028213,0.0151252685342446,0.0023957933046614,0.0252358468260559,0.0068014171394663,0.0028183750513969,0.0006586735363569,0.0049855565859485,0.066393391706176,0.0016159481798766,0.0026789480294205,0.021267371361949,0.0038682691268789,0.0228286163424399,0.0014343423409165,0.0009231972713561,0.0322624016873697,0.0018614753018988,0.0022371270217555,0.0029177140410872,0.0049097796340289,0.0053590626677717,0.0029205244833948,0.0044958250837549,0.0011911049819913,0.0067869623317456,0.111573872581487,0.0104169528105967,0.0019827155187191,0.0670207891695076,0.0055386287198032,0.0020713612763482,0.0020850526975383,0.0225921099356236,0.0012473064273938,0.017969680710436,0.0020667499918063,0.0010961347983784,0.0061828658825391,0.0079252197963465,0.0019655210303038,0.0086585185327074,0.0003812229012007,0.0027127613755174,0.0155040593910446,0.0024196355573282,0.002083990503852,0.0161425505411224,,0.0003376283836832,0.0019849678462373,0.0020096954695094,0.0151636976993111,0.0282085496537519,0.0012539285387013,0.0659674105194015,0.0008072532220015,0.0020597239441123,0.0008291418817241,0.0003844376219458,0.0312054807948796,0.0039353165607913,0.0017885726980096,0.0006166681636843,0.0144926417894765,0.0466538566723401,0.0012377699276441,0.0010810930368502,,0.0142669302363836,0.0105676925515777,0.0406022522050515,0.0642686924009533,0.0241973902947968,0.0028643255683362,0.0742639418763406,0.0870084680268337,0.0301194963020815,,0.115519627899925,,,,
4,Bacteria,Firmicutes,Bacilli,Bacillales,,Exiguobacterium,Exiguobacterium antarcticum,132920,0.0063158901079719,0.0061846119839317,,,,0.0003014186054137,0.0042033386871513,0.0056623334362628,0.0007764536811588,,0.0035245818483943,0.0008283987264333,0.0071618062313778,0.0016555883586319,0.0009433424316949,0.0004182490836897,0.0007962274816322,0.017750845633186,0.0005150919511183,0.0005571517753614,0.0048582809394629,0.0010846883438998,0.0058414453774618,0.0006597372404527,,0.0075579236118461,0.0005229977986663,0.0006672721538419,0.0007514323827081,0.0021993039273281,0.0014859421215801,0.0012908608522659,0.0012654514785099,,0.0016978638153232,0.0195593614432236,0.0020391376911017,0.0006947910531263,0.0145071959049159,0.0015213405457097,0.0010859168009942,0.000934968595101,0.0053194408277151,0.0005082111658291,0.0042807345486826,0.0004973142502107,0.0004005574418194,0.0019284384385559,0.0023768330697492,0.0006483443039683,0.0019976868822507,0.0001628974167171,0.0009267129958065,0.0043193663665732,0.0007325127215152,0.0009960421876287,0.0046008591027267,,0.0001824782279554,0.0008355793938065,,0.0044381799550798,0.0079281845716558,,0.0124459090601833,0.0003246836610503,0.0010067133431934,,,0.0071103336698334,0.0012609854945059,0.0007345868814546,,0.0030970686020604,0.0135768909815293,0.0005524809049018,0.0004121634930271,,0.0033162555770178,0.0032715387543645,0.008609635674059,0.0125687933691873,0.0053538142790434,0.0008509958086302,0.0134211185576028,0.01779378855109,0.0080202108763582,,0.0230908260822385,,,,
5,Bacteria,Firmicutes,Bacilli,Bacillales,,Exiguobacterium,Exiguobacterium sibiricum,332410,0.0101345477173624,0.0081333583617748,,,,0.0004984897261729,0.0062222527323418,0.0084640100245614,0.0022823110520046,,0.0047228796661761,0.0007209996964086,0.0110143750133514,0.0024675253503736,0.0008485180929508,0.0002930043009389,0.0018032996413485,0.0267645585264923,0.000553027279747,0.0015506901164145,0.0084506313115512,0.0008783263701567,0.0078139504077914,0.0007530255296407,,0.0086200653652142,0.0003942077650307,0.001032186407032,0.0008655170679633,0.0016209899324088,0.0016318693929382,0.0008584633386157,0.0016706873446937,0.0005622981068118,0.0022547557700701,0.0298305102543563,0.0028015407337276,0.0005831392713296,0.0212904805114181,0.0021882326557119,0.0009715433331207,0.0005184073395472,0.0075705403680847,0.0006455034505919,0.0067210601651761,0.0012922864909976,0.000307118053877,0.0020872029825002,0.0032742192841893,0.0008043881154572,0.0036946350535136,0.0002235791308444,0.001004253865321,0.0052999943288976,0.0009410889528177,0.0009515453533215,0.0049381439088882,,0.0001070706455488,0.000666148175232,,0.0043762084187317,0.0090654491169985,,0.0191705292644584,0.0002793926042994,0.0007327189623127,0.0003229070451426,,0.0108090815171311,0.0012327001209408,0.0007527477078279,,0.0059356062985676,0.0167750534083494,0.0003599213542935,0.0002300917483964,,0.0045288264515579,0.0031818622343192,0.0101086238462534,0.0190443801873111,0.0057881212968783,0.0008819440394398,0.0182528221851722,0.022090693807566,0.0102070662615618,,0.0361515062636692,,,,
6,Bacteria,Firmicutes,Bacilli,Bacillales,,Exiguobacterium,Exiguobacterium sp. U13-1,1849031,0.000901302041728,0.0007762184205928,,,,0.0001967240368496,0.0006798528770011,0.0007440194179817,,,0.0004463397144391,,0.001070024381776,0.000413071825268,,,0.0001777418527803,0.0019422667883528,,0.0001057723592835,0.0005593301420851,,0.0009441742324265,,,0.0010319426652386,,,,,0.0001586984093387,,0.0002610031679388,,0.0002832319187454,0.0026306968883586,0.0003118256248575,,0.0020719573394533,0.0001783909827771,,,0.0010525756165912,,0.0008686746838939,0.000649000197844,,0.0004914952429767,0.0003682005563528,,0.0003366252149718,,,0.0010209265800549,0.0003739986351166,0.000258584169343,0.0004405027275239,,,,,0.0004158148000924,0.0010847445685825,,0.002520713780116,,,,,0.0008714093395323,,,,0.0004913852995738,0.0022796442537342,,,,0.0003886284667069,0.0005083511749887,0.0018817865766166,0.0013752969168233,0.0006173304538068,,0.0019819783974277,0.0032162348669337,0.0011952531575101,,0.0043128823972322,0.0002706592806903,,,
7,Bacteria,Firmicutes,Bacilli,Bacillales,,Exiguobacterium,Exiguobacterium sp. ZWU0009,1224749,0.0006883856934863,0.0006028527394453,,,,,0.0002544502920727,0.0008119913021156,,,0.0004243408507306,,0.0007470764065129,,,,0.0001693778265579,0.00157502802191,,,0.000987718306881,,0.0005790725721271,,,0.0011262363170716,,,,0.0003669411438359,0.0002528149920799,,0.0002997839506479,,0.000477387685069,0.0031562121845448,,,0.0026385132219685,,,,0.0005882088294222,,0.0007033841354119,,,0.0001630882034835,,0.0002243556059952,0.0002650815341435,,,0.0003061570836914,0.0001935136611588,,0.000786957952225,,,,,0.0005320810959631,0.0008373433527148,,0.0016254021999326,,,,,0.0005888690427569,,,,0.0005567501201876,0.0010498920445779,,,,0.000513846671369,0.0001671184653341,0.0010747883157218,0.0013772872741367,0.000645077171814,,0.0019040550257696,0.0015154392634387,0.0005560045697824,,0.001989277947681,,,,
8,Bacteria,Firmicutes,Bacilli,Bacillales,,Exiguobacterium,Exiguobacterium acetylicum,41170,0.0004258420544651,0.0009177130779192,,,,,0.0003250705078814,0.0009858114737571,,,0.0003466322240093,,0.0009740539284444,0.0002243151792043,,,0.0001720277625912,0.0019073336009671,,0.0001236503460327,0.001047938490766,0.0003617024980738,0.000627404809585,,,0.0011390866363366,,,,0.000278540523902,0.0001520858715998,,,,0.0002357871399398,0.0022834163693392,0.0006608554073919,,0.0017164729041803,,,,0.0011691875833077,,0.00050408340504,0.0002839715488092,,0.0002703705519254,0.0004295473562851,,0.0004534799059656,,0.0004838226333662,0.0003777001927282,0.0005952951187525,0.0003743596319756,0.0004355963997035,,,,,0.0006644412960326,0.0008098142394511,,0.0018102569036464,,,0.0005893202782153,,0.0008751768417187,,,,0.0005850805253079,0.001259904480743,,,,0.0004170792197152,0.0004746990394313,0.0015737176055167,0.0023155469971457,0.0007240662827856,,0.0023686879454707,0.0020713952373466,0.000828581215981,,0.0034438147416636,0.0002445776347268,,,
9,Bacteria,Firmicutes,Bacilli,Bacillales,,Exiguobacterium,Exiguobacterium sp. MH3,1399115,0.0011596174485319,0.0004988043940549,,,,,0.000466971025513,0.0009125180483389,0.000276838841041,,0.0004048677695094,,0.0008756243363778,0.0003571535743785,,,0.0002209363090502,0.0020240624038949,,0.0001670352994635,0.0009284152055345,,0.0007419591580935,,,0.0011958817631294,,,0.0002341727855184,0.0002207077391345,0.0002074534248765,0.0003886945695839,,,0.0006197539777302,0.0016310011058662,0.0003727970475267,,0.0015272708931685,0.0002588013142461,,,0.0008231383774898,,0.0003652948434581,,,0.0001665483151916,0.0003829525469009,,0.0002209495815915,,,0.000500848300331,0.0003906987685414,,0.0003817319738654,,,0.0002773684073132,,0.0009389767587731,0.0010287594161371,,0.0013857509890076,,,,,0.0005779344673884,0.0003498063984197,,,0.0004541395548182,0.0019390257674606,,,,0.0006332422135171,0.000499163102133,0.0020507906241586,0.0014280487773657,0.0008380367261254,,0.0019700208306428,0.0019832083915775,0.0008379136292744,,0.003220633950518,,,,
